Target Product,Top Match,NLP Score,Chem Score,Combined Score
Wardah Lightening Liquid Foundation,Bielenda Make-Up Academie Matt Matting Foundation,0.7774,0.0664,0.4219
Revolution Pro Foundation Drops,Sunset Makeup Liquid Foundation,0.8088,0.1086,0.4587
Wakemake Water Velvet Vegan Foundation,Luxcrime Radiant Silk Foundation SPF 50 Pa+++,0.9031,0.1112,0.5072
MAC Face And Body Foundation,MAC Studio Face And Body Foundation,0.9711,0.1126,0.5419
Paese Minerals Illuminating Mineral Foundation,Mineralogie Pressed Foundation,0.7597,0.1364,0.4481
lavera Hyaluron Liquid Foundation,Benecos Natural Light Fluid Foundation,0.9006,0.1388,0.5197
EvenHealy Tinted Serum Foundation,Plain Jane Beauty Creme Minerals Foundation Stick,0.8251,0.4667,0.6459
Shiseido Revitalessence Skin Glow Foundation SPF 30,I.am.klean Glow Foundation,0.8816,0.1015,0.4915
Revolution Conceal & Hydrate Foundation,Makeup Revolution Conceal and Hydrate Foundation,0.9621,0.1579,0.56
bperfect Mrs Glam Skin Powder Foundation,Revolution Pro Conceal & Define Powder Foundation,0.9139,0.1924,0.5532
Golden Rose Hd Foundation,Max Factor Miracle Touch Foundation,0.8818,0.0781,0.48
Boho Liquid Foundation,Alkemilla Velvet Fluid Foundation,0.9096,0.1572,0.5334
bareMinerals Matte Foundation Spf15,Lily Lolo Mineral Foundation Spf 15,0.7963,0.2903,0.5433
Relove by Revolution Beauty Super Serum Foundation,W7 High Definition Foundation,0.8803,0.0986,0.4895
3INA 3-In-1 Foundation,Revlon Candid Photoready Foundation,0.9023,0.0708,0.4865
Lumene Blur 16H Longwear Foundation Spf 15,Lumene Blur 16h Longwear SPF15 Foundation,0.9922,0.1246,0.5584
Kjaer Weis Cream Foundation,Black Opal Total Coverage Concealing Foundation,0.7506,0.1662,0.4584
Deborah Milano Foundation Extra Mat Perfection SPF 20,Deborah Milano Foundation Il Fondotinta SPF15,0.93,0.1047,0.5173
Crop H.a. Vegan Foundation,LA GIRL Pro Coverage Foundation,0.7177,0.2233,0.4705
MAC Studio Radiance Serum-powered Foundation,Tom Ford Shade &illuminate Soft Radiance Foundation,0.9027,0.1202,0.5114
Unicorn Glow Sleek Serum Foundation,Etude House Double Lasting Serum Foundation,0.9482,0.105,0.5266
Make Up Forever Matte Velvet Full Coverage Foundation,Hourglass Ambient Soft Glow Foundation,0.8938,0.0983,0.496
Avene Fluid Foundation Corrector SPF20,Avene Couvrance Fluid Foundation Corrector,0.9956,0.1232,0.5594
Glamaire Foundation,SEPHORA COLLECTION 10 Hr Wear Perfection Foundation,0.7298,0.0732,0.4015
Ere Perez Quinoa Water Foundation,Ere Perez Quinoa  Water Foundation,0.9609,0.1417,0.5513
Technic Luminous Glow Demi Matte Foundation,SheGlam Skinfinite Hydrating Foundation,0.8422,0.1553,0.4988
Josie Maran Argan Matchmaker Serum Foundation,Too Faced Born This Way Foundation-ivory,0.8405,0.1183,0.4794
Designer Brands Luminous Hydrating Foundation,Designer Brands Firming Age Revive Foundation,0.8954,0.1608,0.5281
W3LL People Bio Stick Foundation,Plain Jane Beauty Creme Minerals Foundation Stick,0.8557,0.155,0.5054
Rimmel London Rimmel Match Perfection Foundation,Rimmel London Match Perfection Foundation SPF 20,0.9584,0.1091,0.5338
